sample_number,elapsed_seconds,datetime,system_time,chronotick_time,chronotick_offset_ms,chronotick_uncertainty_ms,chronotick_confidence,chronotick_source,ntp_time,ntp_offset_ms,ntp_uncertainty_ms,ntp_server,has_ntp
116,1150.6137764453888,2025-10-10T20:18:55.239080,1760145535.2390802,1760145535.6260786,383.03181529045105,1.0,0.95,cpu,,,,,False
117,1160.6157598495483,2025-10-10T20:19:05.241062,1760145545.2410622,1760145545.6447732,398.9622890949249,1.0,0.95,cpu,,,,,False
118,1170.617948770523,2025-10-10T20:19:15.243252,1760145555.2432523,1760145555.664665,411.5641713142395,1.0,0.95,cpu,,,,,False
119,1180.6208882331848,2025-10-10T20:19:25.246191,1760145565.246191,1760145565.6843479,425.5977272987366,1.0,0.95,cpu,,,,,False
120,1190.6225836277008,2025-10-10T20:19:35.247887,1760145575.247887,1760145575.4468138,199.06207919120789,1.0,0.95,cpu,,,,,False
121,1200.6249043941498,2025-10-10T20:19:45.250207,1760145585.2502074,1760145585.45302,204.7094851732254,1.0,0.95,cpu,1760145585.4037085,120.06902694702148,0.0,time.google.com,True
122,1210.673842906952,2025-10-10T20:19:55.299145,1760145595.2991452,1760145595.510506,213.9917016029358,1.0,0.95,cpu,,,,,False
123,1220.675353050232,2025-10-10T20:20:05.300658,1760145605.3006575,1760145605.5178962,219.96000409126282,1.0,0.95,cpu,,,,,False
124,1230.676792383194,2025-10-10T20:20:15.302095,1760145615.302095,1760145615.5303252,231.33960366249084,1.0,0.95,cpu,,,,,False
125,1240.6789631843567,2025-10-10T20:20:25.304265,1760145625.3042655,1760145625.5428395,242.509126663208,1.0,0.95,cpu,,,,,False
126,1250.681007385254,2025-10-10T20:20:35.306310,1760145635.3063102,1760145635.5537245,251.0688304901123,1.0,0.95,cpu,,,,,False
127,1260.682646036148,2025-10-10T20:20:45.307949,1760145645.3079486,1760145645.5693247,265.60530066490173,1.0,0.95,cpu,,,,,False
128,1270.6851077079773,2025-10-10T20:20:55.310411,1760145655.3104107,1760145655.5867376,277.1998941898346,1.0,0.95,cpu,,,,,False
129,1280.6864032745361,2025-10-10T20:21:05.311706,1760145665.3117063,1760145665.602954,292.98847913742065,1.0,0.95,cpu,,,,,False
130,1290.6881399154663,2025-10-10T20:21:15.313443,1760145675.3134427,1760145675.627019,315.49072265625,1.0,0.95,cpu,,,,,False
131,1300.689668416977,2025-10-10T20:21:25.314971,1760145685.3149714,1760145685.6624997,350.32686591148376,1.0,0.95,cpu,,,,,False
132,1310.692029953003,2025-10-10T20:21:35.317333,1760145695.3173327,1760145695.7027931,385.93414425849915,1.0,0.95,cpu,,,,,False
133,1320.6943492889404,2025-10-10T20:21:45.319652,1760145705.3196518,1760145705.720083,392.81973242759705,1.0,0.95,cpu,1760145705.450614,97.43237495422363,0.0,time.google.com,True
134,1330.7461156845093,2025-10-10T20:21:55.371418,1760145715.3714185,1760145715.7838185,407.4738025665283,1.0,0.95,cpu,,,,,False
135,1340.7485871315002,2025-10-10T20:22:05.373890,1760145725.3738904,1760145725.800203,422.02267050743103,1.0,0.95,cpu,,,,,False
136,1350.7508130073547,2025-10-10T20:22:15.376116,1760145735.3761163,1760145735.8216767,439.8058354854584,1.0,0.95,cpu,,,,,False
137,1360.7528192996979,2025-10-10T20:22:25.378122,1760145745.378122,1760145745.8386831,452.84757018089294,1.0,0.95,cpu,,,,,False
138,1370.754863500595,2025-10-10T20:22:35.380166,1760145755.380166,1760145755.8553793,462.1357321739197,1.0,0.95,cpu,,,,,False
139,1380.756472826004,2025-10-10T20:22:45.381775,1760145765.3817751,1760145765.860991,464.84240889549255,1.0,0.95,cpu,,,,,False
140,1390.7586505413055,2025-10-10T20:22:55.383953,1760145775.3839529,1760145775.8598442,463.9667272567749,1.0,0.95,cpu,,,,,False
141,1400.7604126930237,2025-10-10T20:23:05.385715,1760145785.385715,1760145785.862069,469.3067669868469,1.0,0.95,cpu,,,,,False
142,1410.7623991966248,2025-10-10T20:23:15.387702,1760145795.387702,1760145795.8719969,477.4097800254822,1.0,0.95,cpu,,,,,False
143,1420.764130115509,2025-10-10T20:23:25.389433,1760145805.3894331,1760145805.881109,483.1269085407257,1.0,0.95,cpu,,,,,False
144,1430.766253709793,2025-10-10T20:23:35.391557,1760145815.391557,1760145815.8907347,486.9368374347687,1.0,0.95,cpu,,,,,False
145,1440.7677807807922,2025-10-10T20:23:45.393083,1760145825.393083,1760145825.894519,493.5571551322937,1.0,0.95,cpu,1760145825.5757856,124.46832656860352,0.0,time.google.com,True
146,1450.8423929214478,2025-10-10T20:23:55.467695,1760145835.4676955,1760145835.963232,485.92087626457214,1.0,0.95,cpu,,,,,False
147,1460.8444130420685,2025-10-10T20:24:05.469716,1760145845.4697156,1760145845.9600563,484.3469262123108,1.0,0.95,cpu,,,,,False
148,1470.8467881679535,2025-10-10T20:24:15.472091,1760145855.472091,1760145855.9503787,473.6720323562622,1.0,0.95,cpu,,,,,False
149,1480.8479642868042,2025-10-10T20:24:25.473267,1760145865.4732668,1760145865.9227464,441.10989570617676,1.0,0.95,cpu,,,,,False
150,1490.8507828712463,2025-10-10T20:24:35.476085,1760145875.4760854,1760145875.8639882,376.1575520038605,1.0,0.95,cpu,,,,,False
