event_id,sequence_number_coord,send_time_ns,send_time_iso,ntp_offset_ms_coord,ntp_timestamp_ns_coord,ct_offset_ms_coord,ct_timestamp_ns_coord,pattern_delay_ms,workers_sent,workers_failed,node_id,sequence_number_worker,receive_time_ns,coordinator_send_time_ns,ntp_offset_ms_worker,ntp_uncertainty_ms,ntp_timestamp_ns_worker,ct_offset_ms_worker,ct_drift_rate,ct_uncertainty_ms,ct_confidence,ct_source,ct_prediction_time,ct_timestamp_ns_worker,ct_lower_bound_ns,ct_upper_bound_ns,ct_latency_ns,ct_latency_ms,sys_latency_ns,sys_latency_ms,ct_violation,sys_violation
48,47,1761411700524018018,2025-10-25 17:01:40,-23.510217666625977,1761411700500507801,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp12,47,1761411700525180826,1761411700524008341,-23.630619049072266,5.0,1761411700501550207,1.0029177906467102,5.555782987885696e-06,0.0055581895139766,0.9999444,cpu,1761411700.0,1761411700526183743,1761411700526167069,1761411700526200417,2175402,2.175402,1172485,1.172485,False,False
49,48,1761411701125619274,2025-10-25 17:01:41,-23.510217666625977,1761411701102109057,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp12,48,1761411701126830093,1761411701125609592,-23.630619049072266,5.0,1761411701103199474,1.0007046405175608,5.555782987885696e-06,0.0081948255683528,0.9999444,cpu,1761411701.0,1761411701127830797,1761411701127806213,1761411701127855381,2221205,2.221205,1220501,1.220501,False,False
50,49,1761411701727217279,2025-10-25 17:01:41,-23.510217666625977,1761411701703707062,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp12,49,1761411701728406934,1761411701727207536,-23.630619049072266,5.0,1761411701704776315,1.004046872021926,5.555782987885696e-06,0.0081948255683528,0.9999444,cpu,1761411701.0,1761411701729410980,1761411701729386396,1761411701729435564,2203444,2.203444,1199398,1.199398,False,False
51,50,1761411702329048037,2025-10-25 17:01:42,-23.24819564819336,1761411702305799842,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp12,50,1761411702330260868,1761411702329037457,-4.859685897827148,5.0,1761411702325401183,1.001834858401195,5.555782987885696e-06,0.0102617441370966,0.9999444,cpu,1761411702.0,1761411702331262702,1761411702331231917,1761411702331293487,2225245,2.225245,1223411,1.223411,False,False
52,51,1761411702991990414,2025-10-25 17:01:42,-23.24819564819336,1761411702968742219,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp12,51,1761411702993109583,1761411702991978231,-4.859685897827148,5.0,1761411702988249898,1.005517500668785,5.555782987885696e-06,0.0102617441370966,0.9999444,cpu,1761411702.0,1761411702994115100,1761411702994084315,1761411702994145885,2136869,2.136869,1131352,1.131352,False,False
53,52,1761411703593671985,2025-10-25 17:01:43,-23.24819564819336,1761411703570423790,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp12,52,1761411703594732743,1761411703593660787,-4.859685897827148,5.0,1761411703589873058,1.0033042061580304,5.555782987885696e-06,0.0114903514258912,0.9999444,cpu,1761411703.0,1761411703595736047,1761411703595701576,1761411703595770518,2075260,2.07526,1071956,1.071956,False,False
54,53,1761411704195296569,2025-10-25 17:01:44,-23.24819564819336,1761411704172048374,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp12,53,1761411704196353755,1761411704195286037,-4.859685897827148,5.0,1761411704191494070,1.0010908984012568,5.555782987885696e-06,0.0113957303256029,0.9999444,cpu,1761411704.0,1761411704197354845,1761411704197320658,1761411704197389032,2068808,2.068808,1067718,1.067718,False,False
55,54,1761411704796915940,2025-10-25 17:01:44,-23.24819564819336,1761411704773667745,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp12,54,1761411704797958958,1761411704796905949,-4.859685897827148,5.0,1761411704793099273,1.004433286208644,5.555782987885696e-06,0.0113957303256029,0.9999444,cpu,1761411704.0,1761411704798963391,1761411704798929204,1761411704798997578,2057442,2.057442,1053009,1.053009,False,False
56,55,1761411705398506750,2025-10-25 17:01:45,-23.24819564819336,1761411705375258555,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp12,55,1761411705400099922,1761411705398496831,-4.859685897827148,5.0,1761411705395240237,1.0022228674085831,5.555782987885696e-06,0.0083062677731504,0.9999169,cpu,1761411705.0,1761411705401102144,1761411705401077226,1761411705401127062,2605313,2.605313,1603091,1.603091,False,False
57,56,1761411706000144539,2025-10-25 17:01:46,-23.24819564819336,1761411705976896344,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp12,56,1761411706001352680,1761411706000134613,-4.859685897827148,5.0,1761411705996492995,1.0000075157911,5.555782987885696e-06,0.0098381296993466,0.9999169,cpu,1761411706.0,1761411706002352687,1761411706002323173,1761411706002382201,2218074,2.218074,1218067,1.218067,False,False
58,57,1761411706601743706,2025-10-25 17:01:46,-23.24819564819336,1761411706578495511,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp12,57,1761411706602943356,1761411706601734407,-4.859685897827148,5.0,1761411706598083671,1.0033498214731704,5.555782987885696e-06,0.0098381296993466,0.9999169,cpu,1761411706.0,1761411706603946705,1761411706603917191,1761411706603976219,2212298,2.212298,1208949,1.208949,False,False
59,58,1761411707203336908,2025-10-25 17:01:47,-23.24819564819336,1761411707180088713,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp12,58,1761411707204384313,1761411707203327416,-4.859685897827148,5.0,1761411707199524628,1.001135514966575,5.555782987885696e-06,0.0112835550680756,0.9999169,cpu,1761411707.0,1761411707205385448,1761411707205351598,1761411707205419298,2058032,2.058032,1056897,1.056897,False,False
60,59,1761411707804927203,2025-10-25 17:01:47,-23.24819564819336,1761411707781679008,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp12,59,1761411707805968739,1761411707804917480,-4.859685897827148,5.0,1761411707801109054,1.0044777862089964,5.555782987885696e-06,0.0112835550680756,0.9999169,cpu,1761411707.0,1761411707806973216,1761411707806939366,1761411707807007066,2055736,2.055736,1051259,1.051259,False,False
61,60,1761411708406747615,2025-10-25 17:01:48,-23.24819564819336,1761411708383499420,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp12,60,1761411708407842575,1761411708406736683,-4.859685897827148,5.0,1761411708402982890,1.0022658851794255,5.555782987885696e-06,0.0118314210340031,0.9999169,cpu,1761411708.0,1761411708408844840,1761411708408809346,1761411708408880334,2108157,2.108157,1105892,1.105892,False,False
62,61,1761411709008448678,2025-10-25 17:01:49,-23.24819564819336,1761411708985200483,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp12,61,1761411709009504223,1761411709008438325,-4.859685897827148,5.0,1761411709004644538,1.0000528039295744,5.555782987885696e-06,0.0121039111036225,0.9999169,cpu,1761411709.0,1761411709010504275,1761411709010467964,1761411709010540586,2065950,2.06595,1065898,1.065898,False,False
63,62,1761411709610050128,2025-10-25 17:01:49,-23.24819564819336,1761411709586801933,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp12,62,1761411709611119679,1761411709610039864,-4.859685897827148,5.0,1761411709606259994,1.003395247370241,5.555782987885696e-06,0.0121039111036225,0.9999169,cpu,1761411709.0,1761411709612123074,1761411709612086763,1761411709612159385,2083210,2.08321,1079815,1.079815,False,False
64,63,1761411710211686449,2025-10-25 17:01:50,-23.24819564819336,1761411710188438254,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp12,63,1761411710212852461,1761411710211676779,-4.859685897827148,5.0,1761411710207992776,1.0011825621763537,5.555782987885696e-06,0.0058521836763247,0.99994147,cpu,1761411710.0,1761411710213853643,1761411710213836087,1761411710213871199,2176864,2.176864,1175682,1.175682,False,False
